image_path,type,file_name,split,reason,annotator,skipped_at
data/cropped_fields/ogrenci_numara/train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_ogrenci_numara.jpg,ogrenci_numara,train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Sevde,2026-07-13 13:28:13
data/cropped_fields/ogrenci_numara/train_IMG_1559_jpg.rf.7KjZN7FMW9ajnygtzEPF_ogrenci_numara.jpg,ogrenci_numara,train_IMG_1559_jpg.rf.7KjZN7FMW9ajnygtzEPF_ogrenci_numara.jpg,train,Öğrenci Numarası 9 ya da 10 hanli olmalıdır. Hatası verdi,mehmet,2026-07-12 17:43:29
data/cropped_fields/ogrenci_numara/train_IMG_1713_jpg.rf.N6X9rh7N9umpPzokTcGf_ogrenci_numara.jpg,ogrenci_numara,train_IMG_1713_jpg.rf.N6X9rh7N9umpPzokTcGf_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,mehmet,2026-07-12 18:19:28
data/cropped_fields/ogrenci_numara/train_IMG_1732_jpg.rf.igzGvcaikQhPSjimYxKc_ogrenci_numara.jpg,ogrenci_numara,train_IMG_1732_jpg.rf.igzGvcaikQhPSjimYxKc_ogrenci_numara.jpg,train,okunamıyor,mehmet,2026-07-12 18:29:28
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 09-56-11 (2)_jpeg.rf.74N8VzRxKGzy93DD7AEh_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 09-56-11 (2)_jpeg.rf.74N8VzRxKGzy93DD7AEh_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Berke,2026-07-13 12:23:49
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 09-56-49 (3)_jpeg.rf.Ls79jLbOkznteQEXQjAt_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 09-56-49 (3)_jpeg.rf.Ls79jLbOkznteQEXQjAt_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Aslı,2026-07-13 12:24:40
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 09-56-08 (5)_jpeg.rf.I84XsUpUWkfjTLaLIUEj_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 09-56-08 (5)_jpeg.rf.I84XsUpUWkfjTLaLIUEj_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Sevde,2026-07-13 12:25:01
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 10-23-45 (3)_jpeg.rf.w8pkWCCMMmRJTaGFU5Jn_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 10-23-45 (3)_jpeg.rf.w8pkWCCMMmRJTaGFU5Jn_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Aslı,2026-07-13 12:25:30
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 10-23-46 (3)_jpeg.rf.kOrtP2Civ6Elxzf0K4bS_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 10-23-46 (3)_jpeg.rf.kOrtP2Civ6Elxzf0K4bS_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Aslı,2026-07-13 12:25:37
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 10-24-02 (3)_jpeg.rf.GZVOcdeym4cBUvnEDivV_ogrenci_numara.jpg,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 10-24-02 (3)_jpeg.rf.GZVOcdeym4cBUvnEDivV_ogrenci_numara.jpg,train,okunamıyor veya hatalı crop,Berke,2026-07-13 12:27:18
data/cropped_fields/not/train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_not.jpg,not,train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_not.jpg,train,okunamıyor veya hatalı crop,Mehmet,2026-07-13 13:30:37
data/cropped_fields/not/train_WhatsApp Image 2026-07-11 at 09-56-08 (6)_jpeg.rf.kUFf7Ki4H2A3mqlrzhdz_not.jpg,not,train_WhatsApp Image 2026-07-11 at 09-56-08 (6)_jpeg.rf.kUFf7Ki4H2A3mqlrzhdz_not.jpg,train,okunamıyor veya hatalı crop,Aslı,2026-07-13 12:34:36
