split,file_stem,status,warning,saved_files
train,IMG_1456_HEIC.rf.s949dYvPGoHkV78bpSKP,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1456_HEIC.rf.s949dYvPGoHkV78bpSKP_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1456_HEIC.rf.s949dYvPGoHkV78bpSKP_ogrenci_numara.jpg
train,IMG_1457_HEIC.rf.cBB4xdUazXaCfCDTBuCX,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1457_HEIC.rf.cBB4xdUazXaCfCDTBuCX_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1457_HEIC.rf.cBB4xdUazXaCfCDTBuCX_ogrenci_numara.jpg
train,IMG_1458_HEIC.rf.pO7gnsX4juQpRqrs8YtD,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1458_HEIC.rf.pO7gnsX4juQpRqrs8YtD_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1458_HEIC.rf.pO7gnsX4juQpRqrs8YtD_ogrenci_numara.jpg
train,IMG_1460_HEIC.rf.Zb9UFggxzQgV9CVoQVvm,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1460_HEIC.rf.Zb9UFggxzQgV9CVoQVvm_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1460_HEIC.rf.Zb9UFggxzQgV9CVoQVvm_ogrenci_numara.jpg
train,IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1461_HEIC.rf.dr8j8A0mpfajch70po7b_ogrenci_numara.jpg
train,IMG_1463_HEIC.rf.ul6Pg9RGg0YIttds9WWU,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1463_HEIC.rf.ul6Pg9RGg0YIttds9WWU_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1463_HEIC.rf.ul6Pg9RGg0YIttds9WWU_ogrenci_numara.jpg
train,IMG_1464_HEIC.rf.teehKxqQr8XNnmFoPhYG,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1464_HEIC.rf.teehKxqQr8XNnmFoPhYG_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1464_HEIC.rf.teehKxqQr8XNnmFoPhYG_ogrenci_numara.jpg
train,IMG_1465_HEIC.rf.xk81l99Ezi2ZaRRqwhgv,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1465_HEIC.rf.xk81l99Ezi2ZaRRqwhgv_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1465_HEIC.rf.xk81l99Ezi2ZaRRqwhgv_ogrenci_numara.jpg
train,IMG_1466_HEIC.rf.hEuRWNogm0YhCeVaeJ6o,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1466_HEIC.rf.hEuRWNogm0YhCeVaeJ6o_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1466_HEIC.rf.hEuRWNogm0YhCeVaeJ6o_ogrenci_numara.jpg
train,IMG_1468_HEIC.rf.UalxYUvmhJKnhKyUujPk,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1468_HEIC.rf.UalxYUvmhJKnhKyUujPk_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1468_HEIC.rf.UalxYUvmhJKnhKyUujPk_ogrenci_numara.jpg
train,IMG_1469_HEIC.rf.jFrLQksTci77xYbWDsVa,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1469_HEIC.rf.jFrLQksTci77xYbWDsVa_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1469_HEIC.rf.jFrLQksTci77xYbWDsVa_ogrenci_numara.jpg
train,IMG_1471_HEIC.rf.jGrGxRlhoRPxwA4eWUBw,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1471_HEIC.rf.jGrGxRlhoRPxwA4eWUBw_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1471_HEIC.rf.jGrGxRlhoRPxwA4eWUBw_ogrenci_numara.jpg
train,IMG_1473_HEIC.rf.fbvyF0Ho1WNnSj1bcsAS,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1473_HEIC.rf.fbvyF0Ho1WNnSj1bcsAS_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1473_HEIC.rf.fbvyF0Ho1WNnSj1bcsAS_ogrenci_numara.jpg
train,IMG_1475_jpg.rf.mBp5b40zitbftDwrh09s,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1475_jpg.rf.mBp5b40zitbftDwrh09s_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1475_jpg.rf.mBp5b40zitbftDwrh09s_ogrenci_numara.jpg
train,IMG_1477_HEIC.rf.hNxupvYAhFqoodI9HwKG,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1477_HEIC.rf.hNxupvYAhFqoodI9HwKG_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1477_HEIC.rf.hNxupvYAhFqoodI9HwKG_ogrenci_numara.jpg
train,IMG_1480_HEIC.rf.wqdX1M4xlvxGra94G4T1,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1480_HEIC.rf.wqdX1M4xlvxGra94G4T1_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1480_HEIC.rf.wqdX1M4xlvxGra94G4T1_ogrenci_numara.jpg
train,IMG_1485_HEIC.rf.NXkcT9rlwWU0XNXt33cy,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1485_HEIC.rf.NXkcT9rlwWU0XNXt33cy_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1485_HEIC.rf.NXkcT9rlwWU0XNXt33cy_ogrenci_numara.jpg
train,IMG_1485_jpg.rf.VThxIfaFaKsv3A6rX9QS,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1485_jpg.rf.VThxIfaFaKsv3A6rX9QS_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1485_jpg.rf.VThxIfaFaKsv3A6rX9QS_ogrenci_numara.jpg
train,IMG_1486_jpg.rf.XQJgFu48hMBbM5fJgXKA,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1486_jpg.rf.XQJgFu48hMBbM5fJgXKA_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1486_jpg.rf.XQJgFu48hMBbM5fJgXKA_ogrenci_numara.jpg
train,IMG_1487_HEIC.rf.Fix6VeOJdpBMrxVaNuPO,ok,,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\not\train_IMG_1487_HEIC.rf.Fix6VeOJdpBMrxVaNuPO_not.jpg | C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\cropped_fields\ogrenci_numara\train_IMG_1487_HEIC.rf.Fix6VeOJdpBMrxVaNuPO_ogrenci_numara.jpg
